countryorigin_iso3,record_count,total_dutiablevaluephp
AIA,1,3775622
ALB,1,1086985
AND,1,9257361
ANT,13,102405629
ARE,286,4148287230
ARG,173,6475751071
ASM,1,1617296
ATG,1,1309184
AUS,1387,8330212216
AUT,245,1317713468
BEL,806,4079837971
BGD,76,227001741
BGR,58,420714149
BHR,5,23110342
BIH,5,22265949
BLR,15,211811854
BLZ,2,2478223
BRA,574,7651321817
BRB,1,3456011
BRN,1,1281981
CAN,1066,4530217507
CHE,567,4126881055
CHL,69,177430034
CHN,28122,164158476546
CIV,2,3805567
COL,34,170827469
CRI,14,43713965
CUB,10,38245696
CYM,6,29754975
CYP,13,28888587
CZE,128,823501217
DEU,3465,15219773083
DNK,323,1441485135
DOM,5,130967697
DZA,2,151096158
ECU,11,111560017
EGY,5,11196383
ESP,893,3848188911
EST,7,31128403
FIN,327,1573237964
FJI,1,47292265
FRA,1446,9408252825
GBR,1244,5073585606
GEO,3,4973534
GHA,1,17652854
GRC,29,127801627
GTM,2,12826651
GUM,4,8627804
HKG,5243,25694591329
HRV,4,122957641
HUN,28,183430199
IDN,4562,39834064141
IND,2303,16783907844
IRL,272,1073503256
IRN,3,6273701
ISL,2,3681429
ISR,179,1468233585
ITA,976,7229136974
JAM,1,1389121
JOR,3,33621685
JPN,15620,100918351037
KAZ,1,4141364
KEN,5,38141611
KHM,66,307875598
KOR,7572,76845950661
KWT,19,26300740486
LBN,1,2542159
LIE,8,23325707
LKA,23,63278679
LTU,10,45997657
LUX,10,14468702
LVA,4,14735170
MAC,5,12551353
MANY,940,4290051798
MAR,12,71091129
MEX,215,1561913719
MHL,5,24521991
MLI,1,1036155
MLT,16,83603925
MMR,42,152041650
MNG,1,11951106
MOZ,4,16611990
MUS,4,27694664
MWI,8,46010241
MYS,5646,39418032216
NAM,3,8849880
NCL,1,1491003
NFK,1,8206372
NGA,2,449730342
NIC,1,1539795
NLD,1180,5775293152
NOR,105,319173621
NTZ,3,8236980
NZL,833,3896240840
OMN,15,49983866
PAK,80,984509630
PAN,2,106203091
PER,14,128397396
PNG,50,1544345316
POL,64,212104926
PRI,15,103794270
PRK,43,454788695
PRT,15,34588759
PRY,2,143935570
QAT,91,3805196538
ROU,9,23266291
RUS,68,11500135099
SAU,102,26816175329
SGP,8059,59079552065
SLB,20,162011127
SLE,1,1366257
SRB,1,2511328
SUR,1,1323213
SVK,11,19602653
SVN,25,99677441
SWE,213,1353219677
SYC,6,28053464
THA,7972,73113615503
TUN,6,38438142
TUR,315,1660580315
TWN,7381,62645213349
TZA,5,17862816
UKR,155,3340193119
URY,111,824402528
USA,11613,82012146538
VGB,1,44470494
VNM,3300,23829181384
VUT,1,47690229
ZAF,100,606913060
ZAR,1,3176149
ZMB,8,75552495
ZWE,2,10984853
