countryorigin_iso3,tq,record_count,total_dutiablevaluephp
AIA,2015q4,1,3775622
ALB,2015q4,1,1086985
AND,2015q4,1,9257361
ANT,2015q4,13,102405629
ARE,2015q4,286,4148287230
ARG,2015q4,173,6475751071
ASM,2015q4,1,1617296
ATG,2015q4,1,1309184
AUS,2015q4,1387,8330212216
AUT,2015q4,245,1317713468
BEL,2015q4,806,4079837971
BGD,2015q4,76,227001741
BGR,2015q4,58,420714149
BHR,2015q4,5,23110342
BIH,2015q4,5,22265949
BLR,2015q4,15,211811854
BLZ,2015q4,2,2478223
BRA,2015q4,574,7651321817
BRB,2015q4,1,3456011
BRN,2015q4,1,1281981
CAN,2015q4,1066,4530217507
CHE,2015q4,567,4126881055
CHL,2015q4,69,177430034
CHN,2015q4,28122,164158476546
CIV,2015q4,2,3805567
COL,2015q4,34,170827469
CRI,2015q4,14,43713965
CUB,2015q4,10,38245696
CYM,2015q4,6,29754975
CYP,2015q4,13,28888587
CZE,2015q4,128,823501217
DEU,2015q4,3465,15219773083
DNK,2015q4,323,1441485135
DOM,2015q4,5,130967697
DZA,2015q4,2,151096158
ECU,2015q4,11,111560017
EGY,2015q4,5,11196383
ESP,2015q4,893,3848188911
EST,2015q4,7,31128403
FIN,2015q4,327,1573237964
FJI,2015q4,1,47292265
FRA,2015q4,1446,9408252825
GBR,2015q4,1244,5073585606
GEO,2015q4,3,4973534
GHA,2015q4,1,17652854
GRC,2015q4,29,127801627
GTM,2015q4,2,12826651
GUM,2015q4,4,8627804
HKG,2015q4,5243,25694591329
HRV,2015q4,4,122957641
HUN,2015q4,28,183430199
IDN,2015q4,4562,39834064141
IND,2015q4,2303,16783907844
IRL,2015q4,272,1073503256
IRN,2015q4,3,6273701
ISL,2015q4,2,3681429
ISR,2015q4,179,1468233585
ITA,2015q4,976,7229136974
JAM,2015q4,1,1389121
JOR,2015q4,3,33621685
JPN,2015q4,15620,100918351037
KAZ,2015q4,1,4141364
KEN,2015q4,5,38141611
KHM,2015q4,66,307875598
KOR,2015q4,7572,76845950661
KWT,2015q4,19,26300740486
LBN,2015q4,1,2542159
LIE,2015q4,8,23325707
LKA,2015q4,23,63278679
LTU,2015q4,10,45997657
LUX,2015q4,10,14468702
LVA,2015q4,4,14735170
MAC,2015q4,5,12551353
MANY,2015q4,940,4290051798
MAR,2015q4,12,71091129
MEX,2015q4,215,1561913719
MHL,2015q4,5,24521991
MLI,2015q4,1,1036155
MLT,2015q4,16,83603925
MMR,2015q4,42,152041650
MNG,2015q4,1,11951106
MOZ,2015q4,4,16611990
MUS,2015q4,4,27694664
MWI,2015q4,8,46010241
MYS,2015q4,5646,39418032216
NAM,2015q4,3,8849880
NCL,2015q4,1,1491003
NFK,2015q4,1,8206372
NGA,2015q4,2,449730342
NIC,2015q4,1,1539795
NLD,2015q4,1180,5775293152
NOR,2015q4,105,319173621
NTZ,2015q4,3,8236980
NZL,2015q4,833,3896240840
OMN,2015q4,15,49983866
PAK,2015q4,80,984509630
PAN,2015q4,2,106203091
PER,2015q4,14,128397396
PNG,2015q4,50,1544345316
POL,2015q4,64,212104926
PRI,2015q4,15,103794270
PRK,2015q4,43,454788695
PRT,2015q4,15,34588759
PRY,2015q4,2,143935570
QAT,2015q4,91,3805196538
ROU,2015q4,9,23266291
RUS,2015q4,68,11500135099
SAU,2015q4,102,26816175329
SGP,2015q4,8059,59079552065
SLB,2015q4,20,162011127
SLE,2015q4,1,1366257
SRB,2015q4,1,2511328
SUR,2015q4,1,1323213
SVK,2015q4,11,19602653
SVN,2015q4,25,99677441
SWE,2015q4,213,1353219677
SYC,2015q4,6,28053464
THA,2015q4,7972,73113615503
TUN,2015q4,6,38438142
TUR,2015q4,315,1660580315
TWN,2015q4,7381,62645213349
TZA,2015q4,5,17862816
UKR,2015q4,155,3340193119
URY,2015q4,111,824402528
USA,2015q4,11613,82012146538
VGB,2015q4,1,44470494
VNM,2015q4,3300,23829181384
VUT,2015q4,1,47690229
ZAF,2015q4,100,606913060
ZAR,2015q4,1,3176149
ZMB,2015q4,8,75552495
ZWE,2015q4,2,10984853
