countryorigin_iso3,2015q4
AIA,3775622
ALB,1086985
AND,9257361
ANT,102405629
ARE,4148287230
ARG,6475751071
ASM,1617296
ATG,1309184
AUS,8330212216
AUT,1317713468
BEL,4079837971
BGD,227001741
BGR,420714149
BHR,23110342
BIH,22265949
BLR,211811854
BLZ,2478223
BRA,7651321817
BRB,3456011
BRN,1281981
CAN,4530217507
CHE,4126881055
CHL,177430034
CHN,164158476546
CIV,3805567
COL,170827469
CRI,43713965
CUB,38245696
CYM,29754975
CYP,28888587
CZE,823501217
DEU,15219773083
DNK,1441485135
DOM,130967697
DZA,151096158
ECU,111560017
EGY,11196383
ESP,3848188911
EST,31128403
FIN,1573237964
FJI,47292265
FRA,9408252825
GBR,5073585606
GEO,4973534
GHA,17652854
GRC,127801627
GTM,12826651
GUM,8627804
HKG,25694591329
HRV,122957641
HUN,183430199
IDN,39834064141
IND,16783907844
IRL,1073503256
IRN,6273701
ISL,3681429
ISR,1468233585
ITA,7229136974
JAM,1389121
JOR,33621685
JPN,100918351037
KAZ,4141364
KEN,38141611
KHM,307875598
KOR,76845950661
KWT,26300740486
LBN,2542159
LIE,23325707
LKA,63278679
LTU,45997657
LUX,14468702
LVA,14735170
MAC,12551353
MANY,4290051798
MAR,71091129
MEX,1561913719
MHL,24521991
MLI,1036155
MLT,83603925
MMR,152041650
MNG,11951106
MOZ,16611990
MUS,27694664
MWI,46010241
MYS,39418032216
NAM,8849880
NCL,1491003
NFK,8206372
NGA,449730342
NIC,1539795
NLD,5775293152
NOR,319173621
NTZ,8236980
NZL,3896240840
OMN,49983866
PAK,984509630
PAN,106203091
PER,128397396
PNG,1544345316
POL,212104926
PRI,103794270
PRK,454788695
PRT,34588759
PRY,143935570
QAT,3805196538
ROU,23266291
RUS,11500135099
SAU,26816175329
SGP,59079552065
SLB,162011127
SLE,1366257
SRB,2511328
SUR,1323213
SVK,19602653
SVN,99677441
SWE,1353219677
SYC,28053464
THA,73113615503
TUN,38438142
TUR,1660580315
TWN,62645213349
TZA,17862816
UKR,3340193119
URY,824402528
USA,82012146538
VGB,44470494
VNM,23829181384
VUT,47690229
ZAF,606913060
ZAR,3176149
ZMB,75552495
ZWE,10984853
